model,condition,temperature,test,category,ctype,sd
Haiku,c0_neutral,0,abstraction (EN→EL),abstraction,judgment,0.4442616583193192
Haiku,c0_neutral,0,abstraction (EN→EL),addition,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),do_not_translate,procedural,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),fluency,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),focus,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),function_words,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),grammar,procedural,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),locale_conventions,procedural,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),logical_operations,procedural,0.22360679774997902
Haiku,c0_neutral,0,abstraction (EN→EL),mistranslation,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),omission,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),redundancy,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),referential_clarity,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),spelling_punctuation,procedural,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),terminology,judgment,0.0
Haiku,c0_neutral,0,abstraction (EN→EL),untranslated,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),abstraction,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),addition,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),do_not_translate,procedural,0.0
Haiku,c0_neutral,0,func_words (EN→ES),fluency,judgment,0.4701623459816274
Haiku,c0_neutral,0,func_words (EN→ES),focus,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),function_words,judgment,0.3077935056255462
Haiku,c0_neutral,0,func_words (EN→ES),grammar,procedural,0.5231483637805969
Haiku,c0_neutral,0,func_words (EN→ES),locale_conventions,procedural,0.0
Haiku,c0_neutral,0,func_words (EN→ES),logical_operations,procedural,0.0
Haiku,c0_neutral,0,func_words (EN→ES),mistranslation,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),omission,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),redundancy,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),referential_clarity,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),spelling_punctuation,procedural,0.0
Haiku,c0_neutral,0,func_words (EN→ES),terminology,judgment,0.0
Haiku,c0_neutral,0,func_words (EN→ES),untranslated,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),abstraction,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),addition,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),do_not_translate,procedural,0.0
Haiku,c0_neutral,0,grammar (EN→EL),fluency,judgment,0.48936048492959294
Haiku,c0_neutral,0,grammar (EN→EL),focus,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),function_words,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),grammar,procedural,0.4472135954999579
Haiku,c0_neutral,0,grammar (EN→EL),locale_conventions,procedural,0.0
Haiku,c0_neutral,0,grammar (EN→EL),logical_operations,procedural,0.0
Haiku,c0_neutral,0,grammar (EN→EL),mistranslation,judgment,1.1002392084403616
Haiku,c0_neutral,0,grammar (EN→EL),omission,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),redundancy,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),referential_clarity,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),spelling_punctuation,procedural,0.0
Haiku,c0_neutral,0,grammar (EN→EL),terminology,judgment,0.0
Haiku,c0_neutral,0,grammar (EN→EL),untranslated,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),abstraction,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),addition,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),do_not_translate,procedural,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),fluency,judgment,0.36634754853252327
Haiku,c0_neutral,0,locale_conv (EN→EL),focus,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),function_words,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),grammar,procedural,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),locale_conventions,procedural,0.41039134083406176
Haiku,c0_neutral,0,locale_conv (EN→EL),logical_operations,procedural,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),mistranslation,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),omission,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),redundancy,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),referential_clarity,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),spelling_punctuation,procedural,0.44426165831931913
Haiku,c0_neutral,0,locale_conv (EN→EL),terminology,judgment,0.0
Haiku,c0_neutral,0,locale_conv (EN→EL),untranslated,judgment,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),abstraction,judgment,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),addition,judgment,0.998683343734455
Haiku,c0_neutral,0,mistranslation (EN→ES),do_not_translate,procedural,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),fluency,judgment,0.22360679774997896
Haiku,c0_neutral,0,mistranslation (EN→ES),focus,judgment,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),function_words,judgment,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),grammar,procedural,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),locale_conventions,procedural,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),logical_operations,procedural,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),mistranslation,judgment,1.3138933706635727
Haiku,c0_neutral,0,mistranslation (EN→ES),omission,judgment,1.1002392084403616
Haiku,c0_neutral,0,mistranslation (EN→ES),redundancy,judgment,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),referential_clarity,judgment,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),spelling_punctuation,procedural,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),terminology,judgment,0.0
Haiku,c0_neutral,0,mistranslation (EN→ES),untranslated,judgment,0.0
Haiku,c0_neutral,0,omission (EN→EL),abstraction,judgment,0.0
Haiku,c0_neutral,0,omission (EN→EL),addition,judgment,0.0
Haiku,c0_neutral,0,omission (EN→EL),do_not_translate,procedural,0.0
Haiku,c0_neutral,0,omission (EN→EL),fluency,judgment,0.36634754853252327
Haiku,c0_neutral,0,omission (EN→EL),focus,judgment,0.0
